id,advmath8,urban,region,gender,famsize,parmarl8,homelang,slfcnc08,slfcnc10,slfcnc12,schtyp8,tcherint,late12,cuts12,absent12,approg,hwkin12,hwkout12,excurr12,computer,hsprog,unitengl,unitmath,unitcalc,schattrt,apoffer,nursery,algebra8,numinst,edexpect,expinc30,achrdg08,achmat08,achsci08,achsls08,achrdg10,achmat10,achsci10,achsls10,achrdg12,achmat12,achsci12,achsls12,cigarett,alcbinge,marijuan,ses
111,0,2,3,1,5,6,4,21,26,27,1,2,1,0,3,1,3,2,3,0,2,4,2.5,0,95,2,1,0,1,2,35000,38.3,46.71,38.27,48.27,44.46,56.19,50.92,41.7,52.39,54.31,47.06,36.55,0,0,0,10
112,1,2,3,0,4,6,4,27,21,36,1,2,2,0,1,0,4,3,7,0,2,4,4,0,95,2,1,0,1,4,135000,54.64,57.39,57.21,76.7,54.95,57.93,57.12,63.87,53.67,60.12,59.45,59.11,0,1,0,28
113,1,2,3,0,5,6,4,22,24,27,1,1,1,2,1,1,3,3,0,1,1,4,4,1,95,2,NA,1,2,3,50000,59.56,52.9,73.59,70.56,61.07,56.53,69.54,70.84,61.05,55.99,67.22,69.13,1,1,0,17
114,0,3,3,0,3,5,4,21,21,33,1,1,1,0,2,0,6,3,4,1,2,4,4,0,95,0,0,0,1,1,30000,44.29,58.09,48.27,48.28,42.51,54.35,50,37.63,37.44,51.85,51.23,39.91,0,0,0,10
115,1,1,3,1,5,6,4,26,35,41,1,2,2,0,2,1,3,6,2,1,1,4,5,1,93,7,1,1,1,3,25000,61.1,70.11,60.76,60.73,64.41,67.38,59.52,56.82,57.42,64.67,63.56,53.86,0,0,0,19
116,0,3,3,0,4,6,4,17,15,29,1,3,3,0,0,1,3,3,3,1,2,5,4,0,NA,6,0,0,1,3,35000,50.75,42.74,54.61,49.56,47.02,50.11,57.08,61.55,51.81,48.05,49.27,54.57,0,0,0,20
117,1,1,3,1,5,6,4,15,20,31,1,2,0,0,2,1,3,6,5,1,2,3.99,4.99,1,NA,7,1,1,1,4,1.00E+05,62.84,70.12,53.09,60.28,63.69,68.6,69.93,59.24,62.74,65.19,64.07,54.14,0,0,0,25
118,1,2,3,1,4,6,4,13,11,21,1,2,2,0,3,1,2,3,2,0,1,4,4,0,94,3,0,0,1,2,50000,54.19,47.38,49.5,45.98,47.59,46.42,46.81,42.5,53.87,42.02,39.41,49.24,0,0,0,15
119,1,2,3,0,6,6,2,24,25,37,1,1,2,1,0,1,5,6,7,0,1,4,3,0,NA,5,NA,1,1,3,80000,54.27,54.19,62.97,64.92,57.2,52.79,60.34,68.47,58.24,51.33,58.83,60.03,0,0,0,4
120,1,2,3,1,5,6,4,19,21,41,1,3,2,2,2,0,4,3,1,1,1,4,4,0,NA,NA,1,1,1,4,NA,39.34,40.24,41.21,40.74,42.21,38.87,38.18,45.27,44.41,42.56,37.93,43.96,0,1,1,5
121,0,3,3,1,5,6,4,26,27,35,1,2,2,0,2,1,3,3,2,0,3,4,3,0,98,0,1,0,1,2,30000,58.76,45.92,48.31,47.48,53.33,47.33,50.78,63.52,56.91,49.96,46.77,53.48,1,1,0,12
122,1,1,3,0,4,6,3,22,33,32,1,3,0,0,2,1,5,2,0,1,1,4,5,0.5,92,5,0,1,1,2,30000,57.03,67.4,66.14,52.77,55.83,68.23,67.19,52.39,57.45,67.22,60.34,54.17,0,0,0,10
123,0,1,3,1,8,6,3,20,18,33,1,2,3,1,5,0,1,2,0,0,4,4,2,0,94,NA,0,0,1,1,20000,35.82,38.72,42.33,39.28,38.75,40.63,37.79,42.34,43.34,44,39.11,47.56,1,0,1,10
124,0,3,3,1,7,6,4,17,15,29,1,1,2,0,3,0,4,6,3,0,2,4,4,0,97,NA,1,NA,1,2,80000,39.41,52.45,38.66,41.3,38.59,49.69,40.68,43.49,41.69,49.15,39.49,44.27,0,0,0,13
125,0,3,3,1,4,1,4,21,26,29,1,1,1,0,0,1,4,3,4,0,1,5,4,0,97,NA,0,0,1,2,30000,45.36,47.21,47.5,53.57,40.69,44.81,37.6,54.07,49.2,46.91,42.13,44.38,0,0,0,0
126,0,3,3,1,4,6,3,21,14,26,1,3,0,0,2,0,2,3,2,1,3,4,3,0,97,NA,0,0,3,4,50000,51.88,54.83,55.48,47.31,52.66,54.18,48.25,49.97,57.74,50.29,54.68,46.55,0,0,1,22
127,0,3,3,1,6,6,4,21,18,25,1,2,0,2,2,0,3,2,4,0,2,5,4,0,NA,0,NA,0,3,2,25000,47.77,50.45,50.71,44.87,47.45,51.17,49.37,48.36,51.12,55.45,47.26,37.81,0,0,0,14
128,0,3,3,0,5,6,4,19,29,35,1,2,0,1,1,1,4,2,0,0,2,5,5,1,NA,0,0,0,1,1,25000,59.82,67.46,67.23,64.07,60.95,69.97,69.29,62.49,52.31,66.14,68.29,59.79,0,1,1,18
129,1,3,3,0,4,6,4,27,35,29,1,2,2,0,0,1,2,2,2,0,1,4,6,1,95,0,NA,1,1,3,40000,69.15,68.22,77.72,74.06,65.57,71.05,67.92,67.51,63.3,69.29,64.8,65.27,0,0,0,26
130,0,3,3,1,6,6,3,22,18,32,1,1,2,0,4,1,3,3,2,0,1,4,3,0,95,0,NA,0,1,1,25000,45.32,37.24,37.3,43.38,41.51,39.91,41.82,43.83,34.95,41.25,42.12,37.82,0,0,0,8
131,1,2,3,0,7,6,4,20,33,41,1,2,1,0,1,1,4,2,2,0,1,4,4,1,94,2,1,1,1,2,30000,70.55,75.04,73.43,73.96,62.16,69.71,70.12,72.89,66.25,70.49,68.78,70.04,0,0,0,18
132,0,3,3,0,4,1,4,25,20,36,1,2,1,0,2,1,8,8,7,1,2,4,3,0.5,95,0,1,1,1,3,50000,43.71,56.85,49.21,44.2,54.71,64.53,61.23,46.31,61.12,63.49,66.04,62.28,0,0,0,17
133,0,3,3,1,4,5,4,13,16,16,1,2,4,1,1,0,5,3,1,0,2,4,3,0,94,NA,1,1,1,3,35000,45.67,43.26,47.68,58.63,54.83,40.25,46.35,48.71,56.49,42.12,51.24,61.26,1,1,1,13
134,1,3,3,1,5,6,4,18,18,25,1,2,0,0,1,0,3,4,2,0,1,4,4,1,94,0,1,1,1,3,22000,64.65,65.94,58.96,73.96,60.95,65.51,68.08,64.87,60.96,66.14,61.92,60.41,0,0,0,19
135,0,2,3,0,5,6,4,25,24,29,1,2,2,0,1,0,5,1,2,0,1,4,4,0,94,0,0,0,1,1,40000,43.82,56.19,53.3,45.11,49.39,56.68,55.24,44.09,53.28,61.48,45.34,39.94,0,0,0,8
136,1,1,3,0,6,6,2,15,26,39,1,2,0,0,0,1,6,6,0,0,1,4,5,1,93,1,0,1,1,4,35000,54.09,54.92,48.93,52.29,39.42,50.51,38.61,49.45,45.75,53.12,50.03,52,0,0,0,9
137,0,1,3,0,5,NA,2,17,20,33,1,2,2,1,1,1,NA,2,1,0,2,5,4,0,91,12,NA,NA,2,2,80000,55.21,39.96,50.85,39.85,40.42,40.75,35.12,42.67,38.93,43.02,NA,NA,0,0,0,11
138,1,1,3,1,5,NA,3,25,23,27,1,2,3,1,2,1,0,3,2,0,3,5.5,5,1,91,12,NA,NA,2,4,50000,53.42,58.31,47.63,50.27,54.38,61.76,52.96,50.1,50.05,59.11,48.47,55.99,1,1,0,23
139,0,3,3,0,8,6,2,26,22,31,1,1,0,0,0,1,2,3,4,0,1,5,3,0,NA,0,NA,0,1,2,60000,50.14,49.76,60.14,58.33,56.53,60.05,62.07,51.22,42.04,52.63,52.7,55.79,0,0,0,6
140,1,3,3,1,4,6,4,26,23,37,1,1,1,0,2,0,1,0,1,0,2,4,3,0,96,0,1,0,1,2,NA,61.99,52.27,57.23,60.76,65.55,50.86,59.27,62.05,59.53,52.44,55.01,55.66,0,0,0,7
141,1,2,3,0,5,6,4,30,23,32,1,2,1,0,2,0,4,5,1,0,1,4,3,0,95,4,0,1,1,2,40000,53.66,66.37,55.23,64.9,62.25,66.17,56.06,72.89,62.72,66.01,55.34,64.64,0,0,0,16
142,1,3,3,1,4,6,4,15,33,39,1,2,0,0,1,1,NA,4,2,0,4,3,3,0,94,0,1,0,2,3,40000,53.44,48.08,57.03,53.75,53.33,49.62,53.64,46.79,50.17,44.51,44.22,42.26,1,0,0,19
143,1,3,3,1,4,6,4,15,18,33,1,2,1,0,2,0,6,6,6,0,2,4.5,4,0,94,0,0,0,2,3,NA,45.06,46.5,42.99,48.07,47.94,44.24,42.85,46.35,42.56,49.44,43.58,46.65,1,0,1,11
144,1,1,3,0,5,6,2,26,22,39,1,2,3,2,0,1,7,5,5,1,2,4,4,0,93,0,0,0,3,3,55000,51.26,56.9,46.65,54.76,55.88,55.62,47.65,50.41,43.91,54.71,48.61,63.14,0,1,1,10
145,1,1,3,1,5,6,1,20,19,27,1,2,0,0,0,1,2,7,1,1,1,4,4,1,95,20,0,1,1,3,45000,65.69,74.45,76.08,76.7,66.95,69.96,66.92,71.89,66.24,68.78,70.6,69.13,0,0,0,15
146,0,1,3,1,4,6,4,9,28,40,1,2,1,2,2,0,3,3,0,1,2,6,4,0,96,NA,1,0,1,3,50000,56.85,48.76,58.8,50.22,57.68,47.8,50.09,55.86,59.32,51.02,58.92,52.15,0,0,0,27
147,0,3,3,1,4,6,4,17,33,36,1,2,2,0,3,0,2,2,1,0,2,4,3,0,94,0,1,0,1,3,50000,45.04,42.26,45.21,43.8,39.63,41.4,35.36,41.98,41.82,39.39,37.8,45.75,0,0,0,16
148,1,3,3,1,4,6,4,30,19,33,1,2,0,0,0,1,8,4,4,0,1,4,4,0,96,12,0,1,1,2,30000,51.65,53.41,40.65,52.7,49.45,50.07,51.4,44.91,52.1,54.41,55.28,37.96,0,0,0,15
149,1,3,3,0,4,6,4,26,26,43,1,2,1,0,1,1,8,2,4,1,1,4,4,0,96,12,0,1,1,2,40000,52.88,54.85,46.93,51.27,52.13,51.49,49.05,45.76,47.41,54.78,54.9,51.69,0,0,0,17
150,0,3,3,1,5,6,4,6,2,19,1,2,2,0,1,0,3,2,0,1,3,4,3,0,96,4,NA,0,1,1,2800,41.19,47.2,49.65,53.97,52.68,42.13,42.7,55.27,57.72,41.1,48.09,46.76,0,0,0,8
151,1,1,3,1,5,6,4,32,31,41,1,2,2,0,2,1,4,4,0,0,3,5,3,0,94,NA,1,0,1,2,0,70.55,52.83,46.7,56.14,63.2,53.06,46.95,56.26,63.44,47.81,45.06,54.61,0,1,1,23
152,0,1,3,1,5,6,3,17,18,37,1,2,1,0,1,1,3,3,3,0,1,4,3,0,94,NA,NA,0,1,4,60000,64.6,48.03,53.03,58.46,61.1,46.5,57.1,61,58.13,55.36,57.7,60.98,0,0,0,22
153,0,1,3,1,4,6,4,23,21,37,1,1,1,0,1,1,6,6,3,1,1,4.5,4,0,93,4,1,0,2,4,40000,60.71,66.6,62.05,76.7,66.36,60.19,64.64,66,65.89,64.31,67.45,63.26,0,0,0,29
154,1,3,3,1,4,6,4,19,23,31,1,2,0,0,2,0,2,2,3,0,2,4,3,0,NA,14,0,0,1,1,30000,53.22,44.17,42.76,46.81,47.29,43.09,45.36,48.49,49.07,45.73,45.81,46.05,0,0,0,10
155,1,3,3,1,4,1,4,18,24,25,1,2,1,0,3,NA,2,3,2,1,1,4.5,4,0,95,2,1,1,2,3,50000,55.66,66.04,46.11,47.75,61.77,57.95,63.95,49.82,54.25,54.03,44.73,55.42,1,0,0,28
156,0,3,3,1,3,6,4,32,30,29,1,2,1,2,2,0,1,1,5,0,2,4,3,0,95,2,1,NA,2,2,NA,40.72,49.44,56.85,41.49,47.63,55.22,47.43,38.96,45.54,51.22,48.23,37.03,0,0,0,14
157,0,2,3,1,5,6,4,22,11,16,1,2,0,0,3,0,2,2,1,1,2,4,3,0,97,8,1,0,2,2,NA,67.1,53.79,62.83,63.99,62.71,54.93,51.9,66.55,63.99,54.25,62.68,58.67,0,0,0,23
158,0,2,3,1,8,6,2,23,29,27,1,2,2,1,3,0,2,2,4,0,3,4,3,0,95,10,NA,1,1,2,0,47.25,47.48,49.34,48.84,54.96,47.12,43.45,47.68,61.14,48.39,47.39,61.33,0,0,0,15
159,0,3,3,1,3,NA,4,8,6,4,1,2,1,1,2,0,5,1,0,1,2,4,3,0,95,0,0,0,2,4,80000,70.55,47.98,70.32,61.12,67.86,62.27,62.05,63.37,62.84,53.74,62.06,59.16,0,0,0,18
160,0,1,1,1,5,6,4,17,25,29,3,1,4,0,1,1,2,7,3,0,2,4.31,4,0,97,3,1,0,1,3,40000,59.73,58.33,54.52,56.28,63.53,57.93,60.14,54.41,63.96,54.77,65.72,55.74,1,0,1,30
161,1,1,1,1,4,6,4,26,27,41,3,1,1,0,1,1,2,6,4,1,2,3.99,4,1,97,3,1,1,1,4,60000,69.15,77.2,67.79,68.36,66.6,66.29,69.52,65.32,66.79,67.17,67.6,63.18,0,0,0,25
162,0,1,1,0,4,6,2,17,19,37,3,2,0,1,0,1,4,4,2,1,2,3.63,3.63,0.99,NA,15,1,1,1,3,10000,62.42,61.47,68.02,61.16,65.57,69.97,62.89,60,65.76,68.26,64.92,64.86,1,0,1,31
163,1,2,1,1,4,6,4,18,18,25,3,1,1,2,0,1,2,3,2,1,2,3,4,1,99,17,1,1,1,3,75000,63.95,64.78,61.2,74.06,65.44,66.94,67.86,61.88,63.6,68.38,63.73,60.85,0,1,0,30
164,0,2,1,0,4,6,4,27,32,41,3,2,0,0,1,1,2,4,4,1,2,3,4.5,1,97,2,1,NA,1,3,1.00E+05,65.64,69.67,65.59,63.17,56.82,66.41,58.69,55.01,57.75,67.12,61.35,57.51,0,1,0,29
165,1,2,1,0,5,6,4,32,35,43,3,1,2,0,1,1,6,4,4,1,2,4,4,1,97,2,1,1,1,2,1.00E+05,55.57,67.7,59.36,67.89,57.12,58.43,52.61,60.56,66.18,59.25,64.03,63.89,0,1,1,26
166,1,3,3,1,5,6,4,13,16,30,3,1,2,0,1,0,3,3,3,0,2,4,3,0,96,0,1,1,3,1,60000,58.25,58.93,47.77,45.89,43.45,53.79,44,51.41,48.14,49.5,46.5,45.61,0,0,0,23
167,0,3,3,0,5,6,4,23,21,38,3,1,1,0,1,0,3,3,2,1,2,4,3,0,96,0,0,0,2,2,70000,70.55,65.16,70.86,63.54,62.01,62.43,69.96,65.11,65.56,59.23,65.6,64.42,0,0,0,19
168,1,1,3,0,5,1,4,30,26,41,3,1,1,0,1,1,3,5,4,1,2,3.5,4,1,98,11,1,1,1,4,250000,47.84,56.95,35.15,55.33,50.04,65.64,69.63,61.42,57.39,65.69,67.12,59.74,0,1,1,24
169,1,1,3,0,4,6,4,26,29,39,3,1,0,0,1,1,3,5,6,1,2,4,4,0,98,11,1,1,1,4,60000,65.81,64.06,67.11,76.7,67.86,66.26,61.57,69.4,68.09,64.84,61.04,69.13,0,0,0,27
170,0,2,3,1,4,6,4,12,9,31,2,1,4,0,1,1,2,6,2,0,1,8,4,0,NA,NA,0,0,1,3,40000,57.1,47.69,45.44,49.12,49.99,49.55,44.35,55.8,50.61,53.23,46.23,49.48,0,0,0,23
171,0,2,3,1,5,6,4,23,25,33,3,2,0,0,1,0,7,6,2,1,1,4,4,0,91,0,NA,0,1,2,55000,53.86,46.61,48.14,52.43,53.05,52.59,44.07,53.56,57.2,55.19,45.39,42.61,0,0,0,19
172,0,3,3,0,4,6,4,26,30,43,3,2,1,1,2,1,4,3,2,1,2,4,4,0,92,0,1,0,1,2,75000,60.64,64.57,61.06,53.92,67.86,62.48,57.93,50.48,54.97,58.22,47.42,48.86,0,1,0,22
173,0,3,3,0,6,6,4,30,33,43,3,1,1,0,2,0,4,3,3,0,2,6,4,0,92,0,1,0,1,4,150000,52.35,57.01,54.12,61.07,62.46,60.97,55.79,58.36,57.81,60.38,57.86,64.17,0,0,0,21
174,1,1,3,1,6,6,4,20,25,35,2,1,1,1,0,1,3,7,2,0,2,4,4,1,97,7,0,1,1,3,50000,65.88,64.12,66.09,54.58,59.52,62.13,59.76,52.56,61.99,64.62,61.71,62.69,0,0,0,29
175,1,1,3,0,5,6,4,26,18,29,2,2,1,2,1,1,2,2,1,1,2,4,4,1,97,7,1,1,1,3,50000,67.1,77.2,63.85,57.48,61.86,71.05,63.92,56.54,62.05,68.96,66.3,65.45,1,1,1,29
176,0,1,3,1,4,6,4,28,26,43,2,1,1,1,2,1,3,3,1,1,2,4.5,4,0,90,9,0,0,1,3,NA,50.24,60.83,51.73,54.22,54.51,61.4,50.47,56.41,57.6,54.49,52.84,54.28,0,0,1,22
177,0,1,3,1,5,6,4,29,21,25,2,2,2,0,2,0,4,3,3,0,2,4,3,0,94,3,1,0,1,4,80000,55.81,52.1,51.3,54.52,62.39,56.17,58.24,51.47,58.16,55.17,60.3,56.42,0,0,0,21
178,1,2,1,0,5,6,4,23,31,29,2,2,1,1,2,0,3,4,2,1,1,4,4,0,95,7,0,0,1,3,60000,59.16,67.99,70.69,53.31,59.85,67.48,52.78,60.59,63.51,64.17,61.91,62.89,0,1,0,20
179,0,2,1,1,5,6,4,23,20,26,2,2,1,0,3,1,3,7,2,1,2,4.5,4,0,90,8,1,0,1,4,60000,54.66,51.07,46.9,51.88,56.54,54.07,59.84,57.29,58.08,53.65,49.17,55.24,0,0,0,24
180,0,2,1,0,4,6,4,32,34,25,2,2,1,0,2,1,3,3,1,0,2,4,4,0,NA,5,1,0,2,4,NA,50.14,40.94,44.65,44.55,56.26,54.92,52.27,51.57,61.39,56.29,48.32,56.73,0,1,0,25
181,0,2,1,0,5,6,4,30,31,32,2,1,0,0,1,1,8,6,3,1,1,4,4,1,NA,5,1,0,1,3,40000,52.59,57.33,49.56,55.89,57.67,50.06,58.03,51.9,52.7,51.19,54.18,46.13,0,0,0,30
182,1,3,4,0,5,6,4,28,35,36,1,2,1,0,0,0,6,5,3,0,4,3.96,3,0,99,1,1,0,1,1,40000,47.66,48.03,49.23,39.06,39.69,49.21,40.29,41.33,37.77,50.2,60.49,55.46,0,1,0,15
183,1,2,4,1,4,6,4,23,24,36,1,2,0,0,1,0,3,4,2,0,3,3.5,2.5,0,93,1,1,0,2,2,25000,48.17,36.61,46.89,51.44,49.61,49.62,49.08,54.69,55.33,46.16,40.68,49.16,0,0,0,17
184,1,2,4,1,9,6,3,16,25,29,1,2,2,1,2,1,4,4,1,0,1,4,4,1,92,6,0,1,1,3,40000,56.44,58.75,55.27,44.21,54.53,64.01,59.7,45.78,53.77,64.25,58.46,57.66,0,0,0,7
185,1,3,4,0,5,6,4,16,22,25,1,2,1,0,3,0,8,2,0,0,1,4,4,0,87,0,1,1,1,2,50000,70.55,70.94,66.93,74.49,65.87,60.57,69.28,70.04,62.35,66.23,64.49,67.51,0,0,0,16
186,0,1,4,1,5,6,4,23,18,33,1,2,3,0,1,1,1,3,0,0,1,4.08,4.08,0,94,7,0,1,1,3,25000,56.45,66.26,52.99,58.38,61.72,67.81,69.29,50.26,53.96,66.09,62.1,58.96,0,0,0,16
187,0,2,4,0,4,6,2,24,33,34,1,4,2,1,2,1,2,6,0,0,2,4,4,0,NA,5,NA,0,1,4,1.00E+05,56.51,57.41,66.71,63.38,62.21,63.32,64.59,59.68,63.9,66.38,66,65.15,0,0,0,18
188,0,2,4,1,6,6,3,23,20,25,1,2,2,1,1,0,7,4,6,1,2,4,4,0,NA,5,NA,1,2,2,65000,55.4,62.03,60.46,55.1,66,61.24,61.79,62.87,64.08,64.05,60.37,64.97,0,0,0,17
189,1,2,4,1,5,6,2,17,35,27,1,4,1,4,2,1,3,2,0,1,2,4,3.5,0,NA,5,1,1,2,3,20000,50.26,61.16,41.92,50.17,60.6,63.12,46.93,51.59,59.91,61.7,49.31,41.6,0,0,0,28
190,1,2,4,0,9,6,2,19,18,23,1,4,2,1,1,1,2,3,0,0,2,4,3,0,87,10,0,1,2,2,NA,49.01,50.65,50.63,60.96,48.7,49.54,NA,NA,50.66,54.6,58.85,50.96,1,1,0,4
191,0,2,4,0,3,1,1,30,18,40,1,3,0,2,2,0,5,2,0,1,4,4.5,2,0,NA,10,NA,0,1,2,NA,49.47,40.74,55.14,NA,49,41.69,49.47,47.52,54.61,42.98,53.82,54.17,1,1,1,7
192,1,2,4,0,5,6,2,26,21,25,1,2,1,0,2,1,3,5,1,1,2,4,2,1,NA,10,1,0,1,4,30000,70.55,69.59,64.64,NA,64.77,68.09,66.86,68.05,64.32,71.05,64.79,67.33,0,0,0,28
193,0,3,4,1,4,6,4,14,22,38,1,1,0,0,0,0,2,3,7,1,2,5,4,0,92,3,1,1,1,3,40000,59.39,48.56,58.1,53.57,58.49,55.87,53.98,48.31,52.61,49.11,50.62,46.2,0,0,0,23
194,0,1,4,0,3,3,4,21,17,25,1,2,1,0,1,0,2,2,5,1,2,4,2,0,92,3,1,0,1,1,20000,42.26,41.94,43.44,38.2,45.42,42.77,37.72,41.69,38.75,41.94,36.35,39.9,0,0,0,21
195,1,1,4,1,4,1,4,11,21,29,1,2,2,0,1,0,2,1,4,1,2,4,4,0,92,3,1,1,3,2,30000,55.74,67.31,53.59,50.65,54.24,62.66,46.14,56.16,51.63,62.21,51.32,48.55,0,0,0,17
196,1,2,4,0,3,1,4,19,26,36,1,1,3,0,2,1,4,6,2,1,2,4.5,4,0,93,7,1,1,1,4,70000,65.64,71.86,73.84,67.94,51.7,63.51,71.72,NA,67.69,69.92,69.35,67.68,0,0,0,21
197,NA,2,4,0,2,1,4,24,32,29,1,2,0,0,0,1,1,1,2,0,2,4,4,0,98,13,1,1,1,2,40000,43.9,53.93,46.14,49.39,57.7,62.2,53.26,52.46,54.89,57.52,55.81,48.24,0,0,0,24
198,0,1,4,0,5,6,4,23,33,39,1,2,1,2,1,1,2,2,2,1,4,4,2,0,NA,10,1,1,1,3,35000,53.37,50.59,52.66,55.59,53.26,50.56,50.01,50.93,53.08,54.92,61.43,56.63,0,0,0,16
199,1,1,4,1,7,6,2,15,18,32,1,2,1,2,3,1,2,3,3,0,2,5,2.5,0,NA,10,0,1,1,4,45000,52.31,54.02,63.03,71.94,57.86,52.32,60.94,57.4,59.25,54.14,55.86,59.11,0,0,0,6
200,1,3,4,1,4,6,4,25,26,43,1,2,5,5,5,1,7,1,2,1,4,3,3,0,93,10,NA,1,1,4,50000,57.2,60.08,58.13,62.11,58.42,65.23,45.71,53.73,49.97,59.64,60.8,42.26,0,0,0,18
201,0,1,4,1,3,6,4,25,9,30,1,3,1,3,3,0,3,3,0,0,4,3,2,0,88,18,1,0,1,1,45000,51.82,39.71,38.69,44.7,51.19,39.78,41.78,47.36,48.47,36.57,39.97,39.31,1,0,1,13
202,1,1,4,0,6,6,2,30,35,43,1,2,1,1,1,0,0,1,4,1,2,3.5,3,0,88,18,NA,1,1,2,35000,50.3,51.08,58.48,50.07,55.37,51.73,50.81,50.13,52.46,44.63,45.47,46.69,0,0,1,18
203,1,2,4,1,9,6,2,7,20,21,1,2,2,1,5,0,7,8,2,0,2,4,3,0,NA,6,0,1,1,4,45000,46.28,51.41,56.57,56.33,47.59,53.3,50.97,54.65,59.76,51.37,46.43,57.64,0,0,0,6
204,1,2,4,1,4,6,2,22,26,32,1,2,1,1,2,1,6,7,7,1,1,4,4,0,93,6,1,1,2,3,35000,51.23,65.47,50.71,49.25,54.96,56.91,48.71,60.36,55.38,59.08,54.94,58.88,0,0,0,6
205,1,2,4,1,5,6,4,21,35,39,1,2,1,1,2,0,5,5,4,0,2,4,3.5,0,NA,0,0,1,2,2,35000,51.26,51.06,56.2,41.59,55.86,53.08,45.27,45.04,60.87,54.04,52.16,48.58,0,0,0,15
206,1,1,4,0,5,6,1,25,23,33,1,2,2,2,3,1,1,2,0,1,2,4,3,0,88,10,0,0,1,3,40000,39.79,51.48,45.08,48.54,43.59,55.48,44.67,38.47,47.79,59.24,52.62,43.19,0,0,0,17
207,1,1,4,1,5,6,4,11,20,27,1,2,2,3,2,1,2,5,2,0,2,4,4,1,88,10,0,1,1,2,30000,49.83,69.93,65.79,50.83,50.97,65.45,60.19,56.5,47.99,66.04,61.07,63.32,0,0,0,11
208,1,3,4,1,5,6,4,22,28,34,1,2,5,0,2,0,2,2,5,1,2,4,4,0,98,2,NA,1,1,2,50000,59.11,68.28,77.72,74.49,61.88,66.08,67.59,66.5,63.06,63.47,69.35,68.47,0,0,0,18
209,1,2,4,0,3,6,3,16,21,40,1,2,1,1,0,1,2,7,4,1,1,4,4,1,NA,8,NA,1,1,3,75000,65.13,69.4,64.15,53.31,56.28,66.08,53.02,50.11,64.34,66.76,62.92,68.47,0,0,1,25
210,1,2,4,1,5,6,2,7,11,5,1,2,1,0,2,0,2,6,0,0,2,4,4,1,NA,8,0,1,1,4,60000,46.5,61.43,46.35,44.96,46.54,59.58,45.23,41.32,47.22,61.99,52.34,56.72,1,0,0,12
211,1,2,4,1,4,6,3,26,21,31,1,2,4,1,5,1,1,3,3,1,2,4,3,0,NA,8,1,NA,1,3,40000,54.55,53.96,51.76,50.61,50.91,54.89,47.52,50.16,56.82,52.87,51.59,52.52,0,0,0,14
212,1,1,4,0,6,6,1,19,17,17,1,2,5,5,3,1,1,2,0,0,3,4.5,2.5,0,NA,6,1,1,1,4,30000,69.15,77.2,66.83,60.88,47.29,49.28,48.15,54.87,55.29,51.62,50.34,66.07,0,0,1,2
213,0,3,4,1,4,6,4,7,9,23,1,2,0,0,1,0,7,3,4,0,2,4.5,4,0,98,1,1,0,1,4,75000,70.55,66.11,78.47,76.7,64.77,62.52,71.72,71.12,63.93,64.1,67.26,66.91,0,0,0,19
214,1,2,4,1,6,6,4,27,30,41,1,2,0,2,2,0,4,3,1,0,1,4,3,0,97,NA,1,1,1,1,20000,52.96,44.61,45.36,58.49,53.98,46.73,40.08,35.7,49.64,48.88,49.99,37.81,0,0,0,6
215,1,1,4,0,9,6,2,19,11,20,1,2,1,1,1,1,8,8,3,1,1,4,4,1,85,5,1,1,1,4,NA,59.42,67.96,58.1,62.37,58.23,65.41,56.49,72.89,63.14,66.39,69.35,66.94,0,0,0,23
216,1,3,4,1,4,6,4,20,7,22,1,2,0,0,2,0,4,3,1,1,4,4,2,0,NA,5,NA,1,1,1,65000,47.09,48.26,51.92,49.79,45.3,48.44,48.95,55.74,45.13,47.86,48.76,47.06,0,0,1,18
217,0,1,4,1,8,6,2,20,23,35,1,2,1,2,3,0,4,4,3,1,3,4.25,4,0,98,1,1,0,1,3,30000,42.57,50.29,47.04,49.89,46.5,54.67,46.11,54.51,49.79,51.4,48.57,63.04,0,0,0,19
218,1,3,4,1,4,6,4,21,33,41,1,2,2,0,1,0,7,4,6,1,2,4,4,0,95,6,1,0,1,3,50000,66.85,63.22,49.42,51.37,59.74,60.27,50.07,52.21,54.81,54.99,43.8,54.09,0,1,0,25
219,1,3,4,1,4,6,3,29,23,35,1,1,1,1,1,1,6,4,5,0,1,4,3,0,95,6,NA,1,1,3,40000,70.55,72.41,70.84,60.63,66.85,69.96,67.32,57.04,65.44,65,60.52,64.85,0,0,0,19
220,0,2,4,0,4,6,4,28,23,25,1,2,3,1,2,0,1,1,4,1,2,3,4,0,93,6,1,0,1,3,10000,52.16,50.11,53.4,55.45,65.87,59.44,60.37,59.78,51.15,59.72,61.5,55.87,0,1,0,11
221,0,2,4,0,6,6,1,17,16,43,1,2,4,1,0,1,3,4,2,0,2,4,4,0,98,6,1,1,1,2,95000,63,46.54,52.48,72.57,62.93,53.34,52.06,61.08,61.45,53.71,57.5,57.27,0,0,0,17
222,0,2,4,0,9,6,4,15,7,27,1,2,0,0,0,0,8,8,7,1,4,3.5,3,0,94,4,0,1,2,4,150000,54.92,66.94,63.42,65.95,62.83,62.61,62.34,72.89,60.4,62.12,65.67,68.47,0,0,0,21
